,volume
4120,17
4121,14
4122,22
4123,32
4124,33
4125,37
4126,37
4127,32
4128,58
4189,6
4190,11
4191,21
4192,13
4193,20
4194,26
4195,27
4196,32
4197,38
4198,45
4199,68
4200,73
4252,37
4253,47
4254,72
4264,48
4265,28
4266,57
4276,46
4277,27
4278,55
4288,33
4289,39
4290,54
4300,31
4301,36
4302,56
4312,26
4313,50
4314,33
4324,31
4325,57
4326,59
4339,14
4340,12
4341,21
4342,30
4343,36
4344,37
4399,5
4400,18
4401,21
4402,33
4403,31
4404,54
4460,1
4461,5
4462,6
4463,6
4464,9
4465,14
4519,18
4520,20
4521,21
4522,30
4523,31
4524,38
4579,1
4580,8
4581,17
4582,26
4583,31
4584,32
4585,54
4642,1
4643,14
4644,17
4645,16
4646,30
4647,31
4648,45
4702,9
4703,15
4704,16
4705,22
4706,23
4707,29
4761,11
4762,13
4763,27
4764,25
4765,40
4766,73
4824,18
4825,17
4826,19
4827,28
4828,31
4829,43
4886,3
4887,4
4888,8
4889,5
4890,13
4891,26
4945,12
4946,9
4947,11
4948,15
4949,14
4950,32
5007,11
5008,19
5009,16
5010,35
5011,37
5012,52
5070,2
5071,2
5072,2
5073,3
5074,2
5075,4
5076,3
5077,14
5078,9
5079,16
5080,10
5081,13
5438,1
5439,1
5440,9
5441,14
5442,9
5443,25
5444,27
5445,37
5502,1
5503,1
5504,12
5505,8
5506,18
5507,29
5508,31
5509,45
5564,9
5565,17
5566,30
5567,23
5568,34
5569,49
5623,14
5624,9
5625,22
5626,25
5627,31
5628,52
5683,14
5684,14
5685,15
5686,32
5687,27
5688,45
5744,1
5745,2
5746,19
5747,21
5748,14
5749,23
5750,54
5751,66
5808,2
5809,1
5810,1
5811,6
5812,14
5813,10
5814,22
5815,20
5816,45
5817,47
5876,1
5877,1
5878,1
5879,17
5880,21
5881,14
5882,21
5883,13
5938,1
5939,17
5940,9
5941,20
5942,12
5943,34
5944,34
6003,14
6004,19
6005,23
6006,31
6007,45
6008,52
6060,24
6061,36
6062,46
6072,26
6073,45
6074,47
6084,21
6085,23
6086,42
6096,16
6097,24
6098,39
6108,22
6109,22
6110,43
6120,8
6121,11
6122,25
6132,27
6133,39
6134,52
6153,10
6154,10
6155,9
6156,11
6157,8
6158,10
6159,9
6160,14
6161,27
6162,39
6163,58
6164,71
6225,7
6226,8
6227,11
6228,10
6229,9
6230,11
6231,12
6232,17
6233,20
6234,31
6235,43
6236,80
6297,14
6298,10
6299,11
6300,14
6301,12
6302,15
6303,16
6304,16
6305,25
6306,32
6307,47
6308,85
6369,16
6370,18
6371,12
6372,11
6373,16
6374,10
6375,16
6376,20
6377,24
6378,26
6379,33
6380,100
6441,14
6442,11
6443,12
6444,12
6445,11
6446,10
6447,9
6448,16
6449,25
6450,23
6451,60
6452,69
6513,11
6514,11
6515,16
6516,12
6517,14
6518,13
6519,8
6520,12
6521,34
6522,35
6523,52
6524,75
6585,18
6586,16
6587,8
6588,15
6589,6
6590,11
6591,11
6592,20
6593,21
6594,36
6595,43
6596,69
6657,11
6658,10
6659,17
6660,18
6661,16
6662,17
6663,9
6664,16
6665,26
6666,42
6667,67
6668,92
6729,12
6730,12
6731,12
6732,12
6733,16
6734,21
6735,14
6736,9
6737,19
6738,33
6739,41
6740,71
6801,20
6802,7
6803,13
6804,10
6805,19
6806,8
6807,14
6808,13
6809,18
6810,28
6811,37
6812,84
6873,8
6874,15
6875,9
6876,16
6877,12
6878,13
6879,11
6880,16
6881,17
6882,23
6883,41
6884,75
6945,12
6946,8
6947,11
6948,10
6949,19
6950,16
6951,9
6952,18
6953,22
6954,23
6955,58
6956,83
7017,24
7018,24
7019,39
7020,25
7021,31
7022,31
7023,49
7024,48
7025,50
7026,55
7027,96
7028,83
7088,24
7089,11
7090,14
7091,10
7092,24
7093,13
7094,16
7095,15
7096,30
7097,36
7098,47
7099,61
7520,15
7521,9
7522,10
7523,9
7524,15
7525,11
7526,15
7527,11
7528,17
7529,27
7530,56
7531,69
7591,12
7592,16
7593,9
7594,8
7595,22
7596,15
7597,18
7598,10
7599,21
7600,21
7601,46
7602,75
7663,17
7664,12
7665,12
7666,12
7667,14
7668,11
7669,13
7670,13
7671,34
7672,25
7673,60
7674,68
7735,11
7736,9
7737,4
7738,14
7739,15
7740,14
7741,15
7742,24
7743,23
7744,28
7745,44
7746,92
7807,8
7808,18
7809,10
7810,11
7811,11
7812,14
7813,21
7814,10
7815,27
7816,33
7817,50
7818,81
7879,11
7880,10
7881,13
7882,16
7883,10
7884,10
7885,12
7886,16
7887,20
7888,31
7889,38
7890,72
7951,13
7952,12
7953,7
7954,11
7955,13
7956,14
7957,15
7958,16
7959,18
7960,19
7961,38
7962,78
8023,10
8024,15
8025,12
8026,14
8027,12
8028,17
8029,18
8030,10
8031,22
8032,19
8033,42
8034,80
8095,9
8096,14
8097,12
8098,11
8099,14
8100,17
8101,8
8102,13
8103,12
8104,28
8105,39
8106,62
8167,16
8168,15
8169,7
8170,15
8171,12
8172,11
8173,14
8174,15
8175,23
8176,40
8177,59
8178,95
8230,30
8231,42
8232,85
8242,24
8243,57
8244,75
8254,37
8255,44
8256,73
8266,22
8267,49
8268,66
8278,27
8279,37
8280,51
8290,18
8291,29
8292,43
8302,41
8303,53
8304,105
8322,5
8323,3
8324,10
8325,4
8326,7
8327,3
8328,11
8329,7
8330,13
8331,30
8332,38
8333,65
8394,6
8395,3
8396,6
8397,6
8398,6
8399,4
8400,12
8401,12
8402,18
8403,24
8404,43
8405,66
8466,4
8467,3
8468,6
8469,3
8470,3
8471,5
8472,6
8473,11
8474,11
8475,20
8476,42
8477,37
8538,5
8539,4
8540,2
8541,8
8542,5
8543,5
8544,14
8545,9
8546,10
8547,33
8548,37
8549,50
8610,9
8611,5
8612,9
8613,5
8614,3
8615,4
8616,8
8617,11
8618,22
8619,28
8620,41
8621,53
8682,7
8683,4
8684,8
8685,6
8686,2
8687,7
8688,8
8689,12
8690,14
8691,17
8692,44
8693,48
8754,3
8755,4
8756,5
8757,3
8758,4
8759,17
8760,10
8761,10
8762,17
8763,21
8764,28
8765,49
8826,4
8827,9
8828,6
8829,4
8830,5
8831,9
8832,12
8833,9
8834,14
8835,22
8836,49
8837,66
8898,5
8899,1
8900,4
8901,6
8902,1
8903,8
8904,14
8905,8
8906,22
8907,25
8908,42
8909,53
8970,4
8971,8
8972,7
8973,10
8974,6
8975,10
8976,8
8977,14
8978,21
8979,24
8980,36
8981,43
9042,6
9043,3
9044,3
9045,2
9046,5
9047,5
9048,6
9049,14
9050,12
9051,16
9052,25
9053,32
9114,3
9115,7
9116,4
9117,8
9118,8
9119,6
9120,11
9121,9
9122,13
9123,21
9124,44
9125,44
9186,3
9187,3
9188,6
9189,7
9190,2
9191,3
9192,8
9193,7
9194,9
9195,11
9196,19
9197,13
9258,1
9259,1
9260,5
9261,4
9262,5
9263,6
9264,4
9265,6
9266,16
9267,4
9268,16
9269,8
9688,1
9689,6
9690,6
9691,5
9692,5
9693,8
9694,8
9695,4
9696,17
9697,11
9698,28
9699,39
9760,3
9761,6
9762,4
9763,7
9764,3
9765,7
9766,5
9767,9
9768,23
9769,16
9770,33
9771,46
9832,3
9833,7
9834,2
9835,3
9836,7
9837,9
9838,14
9839,16
9840,7
9841,16
9842,37
9843,42
9904,2
9905,2
9906,8
9907,3
9908,4
9909,13
9910,12
9911,18
9912,16
9913,17
9914,39
9915,53
9976,5
9977,7
9978,4
9979,5
9980,8
9981,5
9982,8
9983,9
9984,19
9985,20
9986,35
9987,36
10048,11
10049,8
10050,7
10051,2
10052,5
10053,4
10054,10
10055,9
10056,19
10057,29
10058,31
10059,55
10120,2
10121,6
10122,2
10123,3
10124,9
10125,11
10126,11
10127,5
10128,13
10129,17
10130,34
10131,54
10192,5
10193,5
10194,4
10195,5
10196,6
10197,6
10198,13
10199,12
10200,20
10201,16
10202,39
10203,63
10264,8
10265,4
10266,5
10267,3
10268,5
10269,7
10270,13
10271,15
10272,17
10273,24
10274,44
10275,37
10336,8
10337,1
10338,7
10339,7
10340,5
10341,6
10342,6
10343,10
10344,15
10345,32
10346,41
10347,49
10399,23
10400,29
10401,50
10411,21
10412,26
10413,43
10423,16
10424,49
10425,37
10435,21
10436,28
10437,42
10447,19
10448,18
10449,25
10459,9
10460,19
10461,33
10471,23
10472,41
10473,60
